lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m
14.53744773,121.0005699,2.0,8.17878055573,7.0,True,2,Medium (>0.5–1.5m),0.0
14.46560068,121.0175107,2.0,20.1942024231,7.0,False,1,Low (0–0.5m),18.252952087163706
14.53144752,121.0000898,2.0,8.03775691986,6.0,True,1,Low (0–0.5m),0.0
14.56696868,120.9968202,2.0,9.25671672821,7.0,True,1,Low (0–0.5m),0.0
14.56593548,120.9979199,2.0,9.43406105042,7.0,True,2,Medium (>0.5–1.5m),0.0
14.5666987,120.9978931,2.0,9.43406105042,7.0,True,2,Medium (>0.5–1.5m),0.0
14.56783574,120.9979843,2.0,7.96813154221,7.0,True,1,Low (0–0.5m),0.0
14.58362132,121.0776566,2.0,11.3969812393,10.0,True,2,Medium (>0.5–1.5m),0.0
14.66147515,120.97437,2.0,16.1454238892,9.0,True,2,Medium (>0.5–1.5m),0.0
14.65899574,120.9751881,2.0,16.7012577057,9.0,True,1,Low (0–0.5m),0.0
14.56521639,121.0940181,2.0,5.30579137802,11.0,True,2,Medium (>0.5–1.5m),0.0
14.56778382,120.9962784,2.0,8.67376232147,7.0,True,1,Low (0–0.5m),0.0
14.5655305,120.9969167,2.0,10.6889133453,7.0,True,1,Low (0–0.5m),0.0
14.56814207,120.9961389,2.0,8.67376232147,7.0,False,1,Low (0–0.5m),0.016749615238910675
14.56788766,120.9968577,2.0,8.27620315552,7.0,True,1,Low (0–0.5m),0.0
14.57093877,121.0824936,2.0,7.66744565964,10.0,True,1,Low (0–0.5m),0.0
14.51594904,121.0013317,2.0,7.20014953613,6.0,False,1,Low (0–0.5m),33.271229031182465
14.53788392,121.0013746,2.0,8.07418060303,7.0,True,2,Medium (>0.5–1.5m),0.0
14.55775014,121.0076831,2.0,9.29444885254,7.0,True,1,Low (0–0.5m),0.0
14.55966605,121.0098182,2.0,12.2087650299,7.0,False,1,Low (0–0.5m),5.7266705332074395
14.62412335,120.9869801,2.0,6.80776309967,8.0,True,2,Medium (>0.5–1.5m),0.0
14.4408586,120.9507023,2.0,8.99496936798,6.0,False,3,High (>1.5m),2238.623069469268
14.53325202,121.0524009,2.0,14.3102865219,8.0,True,2,Medium (>0.5–1.5m),0.0
14.67503755,121.0507992,2.0,48.1866226196,11.0,True,3,High (>1.5m),0.0
14.56522677,120.9938858,2.0,10.1128921509,7.0,True,1,Low (0–0.5m),0.0
14.63267111,121.0017072,2.0,17.4397716522,8.0,True,3,High (>1.5m),0.0
14.53925997,120.9925769,2.0,6.26569843292,7.0,False,1,Low (0–0.5m),19.64287611102541
14.55951003,121.0036219,2.0,6.69210004807,7.0,True,2,Medium (>0.5–1.5m),0.0
14.713102,121.1315844,2.0,16.5640335083,20.0,False,3,High (>1.5m),742.5258448948985
14.56697647,121.0001676,2.0,8.18813896179,7.0,True,1,Low (0–0.5m),0.0
14.58260117,121.0905097,2.0,8.45103359222,11.0,True,2,Medium (>0.5–1.5m),0.0
14.66405978,121.0207647,2.0,27.3965969086,9.0,False,1,Low (0–0.5m),8.350473198896639
14.50291119,121.0646398,2.0,5.60146713257,9.0,False,1,Low (0–0.5m),342.93494402369413
14.50525344,121.0653479,2.0,5.52768516541,9.0,False,2,Medium (>0.5–1.5m),466.4657635902984
14.50514437,121.0653372,2.0,5.52768516541,9.0,False,2,Medium (>0.5–1.5m),476.03748648593483
14.53172274,121.0694678,2.0,5.93327188492,9.0,False,1,Low (0–0.5m),1.076734868195693
14.53167081,121.0694625,2.0,5.93327188492,9.0,False,1,Low (0–0.5m),1.7168962420455742
14.53155657,121.0694785,2.0,5.93327188492,9.0,False,1,Low (0–0.5m),0.04625647709232432
14.53192526,121.0695107,2.0,5.93327188492,9.0,False,1,Low (0–0.5m),6.43248944430598
14.53140079,121.069441,2.0,5.78801441193,9.0,True,1,Low (0–0.5m),0.0
14.53118788,121.0694571,2.0,5.78801441193,9.0,False,1,Low (0–0.5m),1.102507202072006
14.52289999,121.0738076,2.0,5.98887443542,9.0,True,1,Low (0–0.5m),0.0
14.52253129,121.0738184,2.0,5.98887443542,9.0,True,1,Low (0–0.5m),0.0
14.5226715,121.073813,2.0,5.98887443542,9.0,True,1,Low (0–0.5m),0.0
14.52280652,121.0738184,2.0,5.98887443542,9.0,True,1,Low (0–0.5m),0.0
14.51863649,121.073475,2.0,6.30626869202,9.0,False,1,Low (0–0.5m),19.65075292541811
14.51871958,121.0735126,2.0,6.30626869202,9.0,False,1,Low (0–0.5m),23.558658286535756
