lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m,nearest_river_name,nearest_river_lon,nearest_river_lat,dist_to_nearest_water_m
14.64039374,121.0557085,0.0,54.5532951355,9.0,False,1,Low (0–0.5m),4.542197238500726,Unnamed,121.05300082945429,14.631194056372113,1059.0236861890398
14.69829935,121.0021322,0.0,21.8562717438,10.0,False,1,Low (0–0.5m),12.566432787601666,Unnamed,121.00030372468089,14.694791204942888,435.3337585046592
14.69885841,121.1002614,0.0,69.322807312,16.0,False,1,Low (0–0.5m),5.692865500525161,Marikina  River,121.11042329896343,14.695213071138982,1166.5321600942063
14.57131006,120.9833345,0.0,10.9872407913,8.0,False,1,Low (0–0.5m),41.31194114161882,Unnamed,120.99314567301442,14.5776371815336,1268.2490090658384
14.7622323,121.0757349,0.0,87.8898468018,18.0,False,1,Low (0–0.5m),27.42324367671767,Unnamed,121.07544887353048,14.75546897037112,749.0692693241721
14.6011784,121.0885987,0.0,14.4637336731,11.0,False,1,Low (0–0.5m),6.5869968417364735,Marikina  River,121.08836479354959,14.601307269981486,28.960345406524308
14.70803089,121.052674,0.0,45.0005531311,12.0,True,1,Low (0–0.5m),0.0,Unnamed,121.05340033478217,14.711221945356586,361.69013871042443
14.70920612,121.0502922,0.0,43.226852417,13.0,False,1,Low (0–0.5m),52.26575138733597,Unnamed,121.04934826726249,14.710726987540365,196.62802544605526
14.70962531,121.0470059,0.0,43.1831130981,12.0,True,2,Medium (>0.5–1.5m),0.0,Unnamed,121.04689999599968,14.71025877527319,71.02265349299633
14.66933825,121.1328981,0.0,48.2762107849,17.0,False,3,High (>1.5m),257.4785617904111,Nanga  River,121.12938417812433,14.667326837340498,439.1258997446189
14.72701256,121.0465953,0.0,53.3076515198,13.0,False,1,Low (0–0.5m),69.00676979219573,Unnamed,121.04206680191434,14.718377632874676,1072.8401155793865
14.6467477,121.0628002,0.0,62.1015319824,10.0,False,1,Low (0–0.5m),122.07396159769996,Unnamed,121.0689202547837,14.639989808304296,997.0143034428596
14.685377,121.097061,0.0,82.2314758301,15.0,False,1,Low (0–0.5m),4.529803218799512,Unnamed,121.09708676608642,14.68526106853946,13.125648860824318
14.39827,121.027496,0.0,37.0790176392,10.0,False,1,Low (0–0.5m),12.741823005122084,Unnamed,121.0300471982374,14.396954153177694,311.33038922237773
14.630796,121.072151,0.0,52.1958312988,10.0,False,1,Low (0–0.5m),29.807475853021646,Unnamed,121.0687326885494,14.6347525524146,572.1447339979134
14.630796,121.072144,0.0,52.1958312988,10.0,False,1,Low (0–0.5m),29.81414240328981,Unnamed,121.0687326885494,14.6347525524146,571.6595049253634
14.630767,121.072205,0.0,52.1958312988,10.0,False,1,Low (0–0.5m),26.419715875899303,Unnamed,121.0687326885494,14.6347525524146,578.3509032706751
14.732137,121.05455,0.0,69.5092391968,14.0,False,1,Low (0–0.5m),1.8925136593727965,Unnamed,121.05730990646065,14.739374864235991,854.3283274676868
14.61853,121.058342,0.0,51.159576416,9.0,False,1,Low (0–0.5m),56.04385256083636,Unnamed,121.05697576757522,14.629513519621854,1224.3270666589065
14.636256,121.082314,0.0,36.8361244202,11.0,False,1,Low (0–0.5m),1.2270525033408908,Marikina  River,121.08205308872381,14.63148974647646,528.1790198168172
14.636267,121.082298,0.0,36.8361244202,11.0,True,1,Low (0–0.5m),0.0,Marikina  River,121.08205308872381,14.63148974647646,529.3058093001354
14.655506,121.086761,0.0,38.0961227417,12.0,False,1,Low (0–0.5m),20.4831796756086,Marikina  River,121.08884513993327,14.653621835120012,306.4111989893515
14.620814,121.04863,0.0,41.8438415527,9.0,False,1,Low (0–0.5m),25.1919018588903,Unnamed,121.04701151703169,14.62943017497181,969.2949532777225
14.625777,121.010796,0.0,14.0821800232,8.0,True,1,Low (0–0.5m),0.0,Unnamed,121.01378947919392,14.629593056150235,531.3918593621573
14.627915,121.013458,0.0,17.3416099548,8.0,False,1,Low (0–0.5m),59.35078116749446,Unnamed,121.01441147929579,14.629130463775441,169.2559808197998
14.630739,121.01638,0.0,15.0720682144,8.0,False,1,Low (0–0.5m),46.68195882285168,Unnamed,121.01485776869038,14.628798548142365,270.2133031760902
14.632337,121.01889,0.0,18.1897277832,8.0,False,1,Low (0–0.5m),24.77553763101353,Unnamed,121.01562317155123,14.634356347085806,416.9419601918405
14.633064,121.020218,0.0,20.2778568268,8.0,False,1,Low (0–0.5m),29.53256631043299,Unnamed,121.01725964542847,14.63658801962969,503.67717612148573
14.632171,121.020737,0.0,21.9754295349,8.0,False,1,Low (0–0.5m),19.845327553891117,Unnamed,121.02182212269751,14.627214956704492,560.7756308594303
14.628372,121.033974,0.0,31.1722774506,8.0,False,1,Low (0–0.5m),59.853153476529066,Unnamed,121.03332002620286,14.62678072316183,189.66999563732165
14.626919,121.033798,0.0,30.3964977264,8.0,False,1,Low (0–0.5m),72.45239424489851,Unnamed,121.03368304192453,14.626639278805701,33.34098052051699
14.621645,121.024658,0.0,23.3781356812,8.0,True,1,Low (0–0.5m),0.0,Unnamed,121.02428835978802,14.62631513164629,518.3424003951812
14.622268,121.026466,0.0,27.1499156952,8.0,False,1,Low (0–0.5m),23.57710105313692,Unnamed,121.02475330495119,14.626419881122311,495.13652238224506
14.622911,121.02906,0.0,29.5121612549,8.0,False,1,Low (0–0.5m),4.112002340451113,Unnamed,121.02970130997464,14.62748254021315,510.5957902712248
14.623846,121.033134,0.0,30.462228775,8.0,False,1,Low (0–0.5m),24.993836754462507,Unnamed,121.03419929048127,14.626438127919656,308.9651481337416
